name,parse_ok,parse_dialect,loc,loc_code,chars,statements,cte_count,cte_max_depth,subquery_count,scalar_subquery_count,correlated_subquery_count,derived_table_count,max_nesting_depth,scope_count,window_function_count,distinct_window_specs,aggregate_count,has_having,has_distinct,has_order_by,source_tables,table_references,cte_references,set_operation_count,union_all_count,intersect_except_count,case_expression_count,case_max_branches,graph_nodes,graph_edges,graph_density,graph_components,graph_max_degree,graph_max_scope_sources,graph_max_scope_edges,graph_max_scope_degree,graph_shape,implicit_joins,explicit_joins,cross_join_risk,unresolved_predicates,distinct_sources,distinct_aggregates,nonportable_markers,rubric_points,rubric_band
query14,True,spark,244,243,10380,2,4,1,19,12,12,7,4,45,0,0,19,True,False,True,5,49,10,10,6,4,0,0,5,6,0.6,1,3,3,2,2,star,31,0,0,5,catalog_sales|date_dim|item|store_sales|web_sales,avg|count|sum,rollup,14,high
query15,True,spark,20,19,713,1,0,0,0,0,0,0,0,1,0,0,1,False,False,True,4,4,0,0,0,0,0,0,4,3,0.5,1,2,4,3,2,snowflake,3,0,0,0,catalog_sales|customer|customer_address|date_dim,sum,,1,low
query16,True,spark,33,32,1291,1,0,0,2,2,2,0,1,3,0,0,4,False,True,True,5,6,0,0,0,0,0,0,5,3,0.3,2,3,4,3,3,star,3,0,0,2,call_center|catalog_returns|catalog_sales|customer_address|date_dim,count|sum,backtick_identifier|interval_arithmetic,6,medium
query17,True,spark,56,55,2460,1,0,0,0,0,0,0,0,1,0,0,16,False,False,True,6,8,0,0,0,0,0,0,6,7,0.4667,1,4,6,7,4,mesh,7,0,0,0,catalog_sales|date_dim|item|store|store_returns|store_sales,avg|count|stddev_samp,stddev_samp,7,high
query18,True,spark,38,37,1508,1,0,0,0,0,0,0,0,1,0,0,7,False,False,True,6,7,0,0,0,0,0,0,6,6,0.4,1,4,6,6,4,mesh,6,0,0,0,catalog_sales|customer|customer_address|customer_demographics|date_dim|item,avg,rollup,6,medium
query19,True,spark,31,30,919,1,0,0,0,0,0,0,0,1,0,0,1,False,False,True,6,6,0,0,0,0,0,0,6,5,0.3333,1,4,6,5,4,snowflake,5,0,0,0,customer|customer_address|date_dim|item|store|store_sales,sum,,5,medium
query20,True,spark,30,29,1018,1,0,0,0,0,0,0,0,1,1,1,4,False,False,True,3,3,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,catalog_sales|date_dim|item,sum,interval_arithmetic,2,low
query21,True,spark,38,37,1787,1,0,0,1,0,0,1,1,2,0,0,2,False,False,True,4,4,0,0,0,0,3,1,4,3,0.5,1,3,4,3,3,star,3,0,0,0,date_dim|inventory|item|warehouse,sum,interval_arithmetic,5,medium
query22,True,spark,21,20,622,1,0,0,0,0,0,0,0,1,0,0,1,False,False,True,4,4,0,0,0,0,0,0,4,3,0.5,1,3,4,3,3,star,3,0,0,0,date_dim|inventory|item|warehouse,avg,rollup,2,low
query23,True,spark,135,134,5583,2,6,1,14,10,8,4,3,26,0,0,15,True,False,True,6,26,10,2,2,0,0,0,6,7,0.4667,1,3,3,2,2,star,16,0,0,0,catalog_sales|customer|date_dim|item|store_sales|web_sales,count|max|sum,,14,high
query24,True,spark,95,94,3059,2,2,1,2,2,2,0,1,6,0,0,8,True,False,False,6,12,4,0,0,0,0,0,6,5,0.3333,1,4,6,5,4,snowflake,10,0,0,2,customer|customer_address|item|store|store_returns|store_sales,avg|sum,,11,high
query25,True,spark,41,40,1296,1,0,0,0,0,0,0,0,1,0,0,3,False,False,True,6,8,0,0,0,0,0,0,6,7,0.4667,1,4,6,7,4,mesh,7,0,0,0,catalog_sales|date_dim|item|store|store_returns|store_sales,max,,6,medium
query26,True,spark,24,23,765,1,0,0,0,0,0,0,0,1,0,0,4,False,False,True,5,5,0,0,0,0,0,0,5,4,0.4,1,4,5,4,4,star,4,0,0,0,catalog_sales|customer_demographics|date_dim|item|promotion,avg,,3,low
query27,True,spark,27,26,871,1,0,0,0,0,0,0,0,1,0,0,5,False,False,True,5,5,0,0,0,0,0,0,5,4,0.4,1,4,5,4,4,star,4,0,0,0,customer_demographics|date_dim|item|store|store_sales,avg|grouping,rollup|grouping_fn,4,low
query28,True,spark,51,50,2687,1,0,0,6,0,0,6,1,7,0,0,18,False,True,False,1,6,0,0,0,0,0,0,1,0,0.0,1,0,6,0,0,disconnected,5,0,6,0,store_sales,avg|count,,6,medium
query29,True,spark,40,39,1309,1,0,0,0,0,0,0,0,1,0,0,3,False,False,True,6,8,0,0,0,0,0,0,6,7,0.4667,1,4,6,7,4,mesh,7,0,0,0,catalog_sales|date_dim|item|store|store_returns|store_sales,avg,,6,medium
query30,True,spark,49,48,1741,1,1,1,1,1,1,0,1,3,0,0,2,False,False,True,4,5,2,0,0,0,0,0,4,2,0.3333,2,2,3,2,2,star,4,0,0,2,customer|customer_address|date_dim|web_returns,avg|sum,,4,low
query31,True,spark,73,72,2422,1,2,1,0,0,0,0,1,3,0,0,2,False,False,True,4,6,6,0,0,0,4,1,4,4,0.6667,1,2,6,5,3,snowflake,9,0,0,0,customer_address|date_dim|store_sales|web_sales,sum,,7,high
query32,True,spark,21,20,793,1,0,0,1,1,1,0,1,2,0,0,2,False,False,False,3,5,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,3,0,0,1,catalog_sales|date_dim|item,avg|sum,backtick_identifier|interval_arithmetic,4,low
query33,True,spark,65,64,2338,1,3,1,4,3,3,1,3,12,0,0,4,False,False,True,6,15,3,2,2,0,0,0,6,9,0.6,1,3,4,3,3,star,9,0,0,0,catalog_sales|customer_address|date_dim|item|store_sales|web_sales,sum,,13,high
query34,True,spark,46,45,2125,1,0,0,1,0,0,1,1,2,0,0,1,False,False,True,5,5,0,0,0,0,1,1,5,3,0.3,2,3,4,3,3,star,4,0,0,0,customer|date_dim|household_demographics|store|store_sales,count,,5,medium
query35,True,spark,58,57,2239,1,0,0,3,3,3,0,1,4,0,0,12,False,False,True,7,9,0,0,0,0,0,0,7,5,0.2381,2,3,3,2,2,star,5,0,0,3,catalog_sales|customer|customer_address|customer_demographics|date_dim|store_sales|web_sales,avg|count|max|stddev_samp,stddev_samp,8,high
query36,True,spark,31,30,1152,1,0,0,0,0,0,0,0,1,1,1,10,False,False,True,4,4,0,0,0,0,2,1,4,3,0.5,1,3,4,3,3,star,3,0,0,0,date_dim|item|store|store_sales,grouping|rank|sum,rollup|grouping_fn,4,low
query37,True,spark,22,21,706,1,0,0,0,0,0,0,0,1,0,0,0,False,False,True,4,4,0,0,0,0,0,0,4,3,0.5,1,2,4,3,2,snowflake,3,0,0,0,catalog_sales|date_dim|inventory|item,,interval_arithmetic,2,low
query38,True,spark,32,31,1299,1,0,0,1,0,0,1,3,6,0,0,1,False,True,False,5,9,0,2,0,2,0,0,5,6,0.6,1,3,3,2,2,star,6,0,0,0,catalog_sales|customer|date_dim|store_sales|web_sales,count,,6,medium
query39,True,spark,116,115,3684,2,2,1,2,0,0,2,2,6,0,0,4,False,False,True,4,8,4,0,0,0,4,1,4,3,0.5,1,3,4,3,3,star,8,0,0,0,date_dim|inventory|item|warehouse,avg|stddev_samp,stddev_samp,10,high
query40,True,spark,35,34,1575,1,0,0,0,0,0,0,0,1,0,0,2,False,False,True,5,5,0,0,0,0,2,1,5,4,0.4,1,4,5,4,4,star,3,1,0,0,catalog_returns|catalog_sales|date_dim|item|warehouse,sum,interval_arithmetic,5,medium
query41,True,spark,66,65,3804,1,0,0,1,1,1,0,1,2,0,0,1,False,True,True,1,2,0,0,0,0,0,0,1,0,0.0,1,0,1,0,0,single,0,0,0,2,item,count,,4,low
query42,True,spark,21,20,645,1,0,0,0,0,0,0,0,1,0,0,2,False,False,True,3,3,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|item|store_sales,sum,,0,low
query43,True,spark,50,49,1718,1,0,0,0,0,0,0,0,1,0,0,7,False,False,True,3,3,0,0,0,0,7,1,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|store|store_sales,sum,,2,low
query44,True,spark,51,50,2201,1,0,0,8,2,2,6,4,9,2,2,8,True,False,True,2,6,0,0,0,0,0,0,2,0,0.0,2,0,3,3,2,mesh,3,0,0,0,item|store_sales,avg|rank,,5,medium
query45,True,spark,28,27,1029,1,0,0,1,1,1,0,1,2,0,0,1,False,False,True,5,6,0,0,0,0,0,0,5,4,0.4,1,3,5,4,3,snowflake,4,0,0,0,customer|customer_address|date_dim|item|web_sales,sum,,5,medium
query46,True,spark,44,43,1772,1,0,0,1,0,0,1,1,2,0,0,2,False,False,True,6,7,0,0,0,0,0,0,6,5,0.3333,1,4,5,4,4,star,6,0,0,0,customer|customer_address|date_dim|household_demographics|store|store_sales,sum,,6,medium
query47,True,spark,72,71,2667,1,2,1,0,0,0,0,1,3,2,2,4,False,False,True,4,4,4,0,0,0,1,1,4,3,0.5,1,3,4,3,3,star,5,0,0,2,date_dim|item|store|store_sales,avg|rank|sum,,6,medium
query48,True,spark,34,33,1579,1,0,0,0,0,0,0,0,1,0,0,1,False,False,False,5,5,0,0,0,0,0,0,5,4,0.4,1,4,5,4,4,star,4,0,0,0,customer_address|customer_demographics|date_dim|store|store_sales,sum,,3,low
query49,True,spark,133,132,5830,1,0,0,6,0,0,6,4,11,6,2,18,False,False,True,7,9,0,2,0,0,0,0,7,6,0.2857,1,3,3,2,2,star,3,3,0,0,catalog_returns|catalog_sales|date_dim|store_returns|store_sales|web_returns|web_sales,rank|sum,,11,high
query50,True,spark,71,70,2400,1,0,0,0,0,0,0,0,1,0,0,5,False,False,True,4,5,0,0,0,0,5,1,4,4,0.6667,1,3,4,4,3,mesh,4,0,0,0,date_dim|store|store_returns|store_sales,sum,backtick_identifier,5,medium
query51,True,spark,54,53,3065,1,2,1,2,0,0,2,2,5,4,4,6,False,False,True,3,4,2,0,0,0,2,1,3,2,0.6667,1,2,2,1,1,star,2,1,0,0,date_dim|store_sales|web_sales,max|sum,,5,medium
query52,True,spark,20,19,625,1,0,0,0,0,0,0,0,1,0,0,1,False,False,True,3,3,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|item|store_sales,sum,,0,low
query53,True,spark,46,45,2230,1,0,0,1,0,0,1,1,2,1,1,3,False,False,True,4,4,0,0,0,0,1,1,4,3,0.5,1,3,4,3,3,star,3,0,0,0,date_dim|item|store|store_sales,avg|sum,,5,medium
query54,True,spark,57,56,2379,1,3,1,3,2,2,1,3,9,0,0,2,False,True,True,8,11,3,1,1,0,0,0,8,2,0.0714,6,1,5,4,3,snowflake,7,0,0,0,catalog_sales|customer|customer_address|date_dim|item|store|store_sales|web_sales,count|sum,,10,high
query55,True,spark,17,16,501,1,0,0,0,0,0,0,0,1,0,0,1,False,False,True,3,3,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|item|store_sales,sum,,0,low
query56,True,spark,68,67,2405,1,3,1,4,3,3,1,3,12,0,0,4,False,False,True,6,15,3,2,2,0,0,0,6,9,0.6,1,3,4,3,3,star,9,0,0,0,catalog_sales|customer_address|date_dim|item|store_sales|web_sales,sum,,13,high
query57,True,spark,66,65,2402,1,2,1,0,0,0,0,1,3,2,2,4,False,False,True,4,4,4,0,0,0,1,1,4,3,0.5,1,3,4,3,3,star,5,0,0,2,call_center|catalog_sales|date_dim|item,avg|rank|sum,,6,medium
query58,True,spark,72,71,3280,1,3,1,6,6,6,0,3,10,0,0,3,False,False,True,5,15,3,0,0,0,0,0,5,6,0.6,1,3,3,2,2,star,8,0,0,3,catalog_sales|date_dim|item|store_sales|web_sales,sum,,9,high
query59,True,spark,85,84,3340,1,1,1,2,0,0,2,1,4,0,0,7,False,False,True,3,6,2,0,0,0,7,1,3,1,0.3333,2,1,3,2,2,star,6,0,0,1,date_dim|store|store_sales,sum,,6,medium
query60,True,spark,66,65,2286,1,3,1,4,3,3,1,3,12,0,0,4,False,False,True,6,15,3,2,2,0,0,0,6,9,0.6,1,3,4,3,3,star,9,0,0,0,catalog_sales|customer_address|date_dim|item|store_sales|web_sales,sum,,13,high
query61,True,spark,47,46,1754,1,0,0,2,0,0,2,1,3,0,0,2,False,False,True,7,13,0,0,0,0,0,0,7,6,0.2857,1,5,7,6,5,snowflake,12,0,2,0,customer|customer_address|date_dim|item|promotion|store|store_sales,sum,,9,high
query62,True,spark,45,44,1751,1,0,0,0,0,0,0,0,1,0,0,5,False,False,True,5,5,0,0,0,0,5,1,5,0,0.0,5,0,5,0,0,disconnected,4,0,0,3,date_dim|ship_mode|warehouse|web_sales|web_site,sum,backtick_identifier,5,medium
query63,True,spark,45,44,2169,1,0,0,1,0,0,1,1,2,1,1,3,False,False,True,4,4,0,0,0,0,1,1,4,3,0.5,1,3,4,3,3,star,3,0,0,0,date_dim|item|store|store_sales,avg|sum,,5,medium
query64,True,spark,122,121,4723,1,2,1,0,0,0,0,1,3,0,0,8,True,False,True,13,19,3,0,0,0,0,0,13,15,0.1923,2,9,12,15,10,mesh,19,0,0,0,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|income_band|item|promotion|store|store_returns|store_sales,count|sum,,11,high
query65,True,spark,37,36,1300,1,0,0,3,0,0,3,2,4,0,0,3,False,False,True,4,6,0,0,0,0,0,0,4,1,0.1667,3,1,4,3,3,star,5,0,0,0,date_dim|item|store|store_sales,avg|sum,,3,low
query66,True,spark,306,305,12978,1,0,0,1,0,0,1,2,4,0,0,84,False,False,True,6,10,0,1,1,0,48,1,6,8,0.5333,1,4,5,4,4,star,8,0,0,0,catalog_sales|date_dim|ship_mode|time_dim|warehouse|web_sales,sum,,12,high
query67,True,tsql,42,41,1215,1,0,0,2,0,0,2,2,3,1,1,2,False,False,True,4,4,0,0,0,0,0,0,4,3,0.5,1,3,4,3,3,star,3,0,0,0,date_dim|item|store|store_sales,rank|sum,rollup|select_top|requires_dialect:tsql,5,medium
query68,True,spark,41,40,1724,1,0,0,1,0,0,1,1,2,0,0,3,False,False,True,6,7,0,0,0,0,0,0,6,5,0.3333,1,4,5,4,4,star,6,0,0,0,customer|customer_address|date_dim|household_demographics|store|store_sales,sum,,6,medium
query69,True,spark,46,46,1878,1,0,0,3,3,3,0,1,4,0,0,3,False,False,True,7,9,0,0,0,0,0,0,7,5,0.2381,2,3,3,2,2,star,5,0,0,3,catalog_sales|customer|customer_address|customer_demographics|date_dim|store_sales|web_sales,count,,6,medium
query70,True,spark,40,39,1817,1,0,0,2,1,1,1,2,3,2,2,10,False,False,True,3,6,0,0,0,0,2,1,3,2,0.6667,1,2,3,2,2,star,4,0,0,0,date_dim|store|store_sales,grouping|rank|sum,rollup|grouping_fn,6,medium
query71,True,spark,48,47,1661,1,0,0,1,0,0,1,3,6,0,0,1,False,False,True,6,8,0,2,2,0,0,0,6,3,0.2,3,3,3,1,1,disconnected,5,0,1,0,catalog_sales|date_dim|item|store_sales|time_dim|web_sales,sum,,6,medium
query72,True,spark,49,48,1742,1,0,0,0,0,0,0,0,1,0,0,3,False,False,True,9,11,0,0,0,0,2,1,9,9,0.25,1,7,9,9,7,mesh,0,10,0,0,catalog_returns|catalog_sales|customer_demographics|date_dim|household_demographics|inventory|item|promotion|warehouse,count|sum,interval_arithmetic,9,high
query73,True,spark,39,38,1707,1,0,0,1,0,0,1,1,2,0,0,1,False,False,True,5,5,0,0,0,0,1,1,5,3,0.3,2,3,4,3,3,star,4,0,0,0,customer|date_dim|household_demographics|store|store_sales,count,,5,medium
query74,True,spark,69,68,2726,1,1,1,0,0,0,0,2,4,0,0,2,False,False,True,4,6,4,1,1,0,2,1,4,4,0.6667,1,2,4,3,3,star,7,0,0,0,customer|date_dim|store_sales|web_sales,sum,,6,medium
query75,True,spark,93,92,4263,1,1,1,1,0,0,1,4,7,0,0,2,False,False,True,8,12,2,2,0,0,0,0,8,9,0.3214,1,3,4,3,3,star,1,9,0,0,catalog_returns|catalog_sales|date_dim|item|store_returns|store_sales|web_returns|web_sales,sum,,11,high
query76,True,spark,57,56,1797,1,0,0,1,0,0,1,3,6,0,0,2,False,False,True,5,9,0,2,2,0,0,0,5,6,0.6,1,3,3,2,2,star,6,0,0,0,catalog_sales|date_dim|item|store_sales|web_sales,count|sum,,7,high
query77,True,spark,106,105,4509,1,6,1,1,0,0,1,3,12,0,0,15,False,False,True,9,16,6,2,2,0,0,0,9,10,0.2778,1,6,3,2,2,star,11,2,2,0,catalog_returns|catalog_sales|date_dim|store|store_returns|store_sales|web_page|web_returns|web_sales,sum,rollup|interval_arithmetic,15,high
query78,True,spark,86,85,3441,1,3,1,0,0,0,0,1,4,0,0,9,False,False,True,7,9,3,0,0,0,0,0,7,6,0.2857,1,3,3,2,2,star,0,8,0,0,catalog_returns|catalog_sales|date_dim|store_returns|store_sales|web_returns|web_sales,sum,,7,high
query79,True,spark,35,34,1343,1,0,0,1,0,0,1,1,2,0,0,2,False,False,True,5,5,0,0,0,0,0,0,5,3,0.3,2,3,4,3,3,star,4,0,0,0,customer|date_dim|household_demographics|store|store_sales,sum,,4,low
query80,True,spark,105,104,5357,1,3,1,1,0,0,1,3,9,0,0,12,False,False,True,12,18,3,2,2,0,0,0,12,10,0.1515,4,5,6,5,5,star,12,3,0,5,catalog_page|catalog_returns|catalog_sales|date_dim|item|promotion|store|store_returns|store_sales|web_returns|web_sales|web_site,sum,rollup|interval_arithmetic,15,high
query81,True,spark,55,54,1877,1,1,1,1,1,1,0,1,3,0,0,2,False,False,True,4,5,2,0,0,0,0,0,4,2,0.3333,2,2,3,2,2,star,4,0,0,2,catalog_returns|customer|customer_address|date_dim,avg|sum,,4,low
query82,True,spark,22,21,701,1,0,0,0,0,0,0,0,1,0,0,0,False,False,True,4,4,0,0,0,0,0,0,4,3,0.5,1,2,4,3,2,snowflake,3,0,0,0,date_dim|inventory|item|store_sales,,interval_arithmetic,2,low
query83,True,spark,75,74,3399,1,3,1,6,6,6,0,3,10,0,0,3,False,False,True,5,15,3,0,0,0,0,0,5,6,0.6,1,3,3,2,2,star,8,0,0,0,catalog_returns|date_dim|item|store_returns|web_returns,sum,,9,high
query84,True,spark,21,20,717,1,0,0,0,0,0,0,0,1,0,0,0,False,False,True,6,6,0,0,0,0,0,0,6,5,0.3333,1,3,6,5,3,snowflake,5,0,0,0,customer|customer_address|customer_demographics|household_demographics|income_band|store_returns,,,4,low
query85,True,spark,52,51,2358,1,0,0,0,0,0,0,0,1,0,0,6,False,False,True,7,8,0,0,0,0,0,0,7,6,0.2857,1,4,7,6,4,snowflake,7,0,0,0,customer_address|customer_demographics|date_dim|reason|web_page|web_returns|web_sales,avg,,6,medium
query86,True,spark,24,23,913,1,0,0,0,0,0,0,0,1,1,1,8,False,False,True,3,3,0,0,0,0,2,1,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|item|web_sales,grouping|rank|sum,rollup|grouping_fn,3,low
query87,True,spark,21,20,964,1,0,0,1,0,0,1,3,6,0,0,1,False,True,False,5,9,0,2,0,2,0,0,5,6,0.6,1,3,3,2,2,star,6,0,0,0,catalog_sales|customer|date_dim|store_sales|web_sales,count,,6,medium
query88,True,spark,92,91,5210,1,0,0,8,0,0,8,1,9,0,0,8,False,False,False,4,32,0,0,0,0,0,0,4,3,0.5,1,3,8,3,3,disconnected,31,0,8,0,household_demographics|store|store_sales|time_dim,count,,7,high
query89,True,spark,40,39,1473,1,0,0,1,0,0,1,1,2,1,1,3,False,False,True,4,4,0,0,0,0,1,1,4,3,0.5,1,3,4,3,3,star,3,0,0,0,date_dim|item|store|store_sales,avg|sum,,5,medium
query90,True,spark,27,26,1231,1,0,0,2,0,0,2,1,3,0,0,2,False,False,True,4,8,0,0,0,0,0,0,4,3,0.5,1,3,4,3,3,star,7,0,2,0,household_demographics|time_dim|web_page|web_sales,count,,4,low
query91,True,spark,32,31,1161,1,0,0,0,0,0,0,0,1,0,0,2,False,False,True,7,7,0,0,0,0,0,0,7,6,0.2857,1,4,7,6,4,snowflake,6,0,0,0,call_center|catalog_returns|customer|customer_address|customer_demographics|date_dim|household_demographics,sum,,6,medium
query92,True,spark,22,21,861,1,0,0,1,1,1,0,1,2,0,0,3,False,False,True,3,5,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,3,0,0,1,date_dim|item|web_sales,avg|sum,backtick_identifier|interval_arithmetic,4,low
query93,True,spark,22,21,864,1,0,0,1,0,0,1,1,2,0,0,1,False,False,True,3,3,0,0,0,0,1,1,3,2,0.6667,1,2,3,2,2,star,1,1,0,0,reason|store_returns|store_sales,sum,,3,low
query94,True,spark,29,28,1109,1,0,0,2,2,2,0,1,3,0,0,4,False,True,True,5,6,0,0,0,0,0,0,5,3,0.3,2,3,4,3,3,star,3,0,0,2,customer_address|date_dim|web_returns|web_sales|web_site,count|sum,backtick_identifier|interval_arithmetic,6,medium
query95,True,spark,37,36,1357,1,1,1,2,2,2,0,1,4,0,0,4,False,True,True,5,7,2,0,0,0,0,0,5,3,0.3,2,3,4,3,3,star,5,0,0,0,customer_address|date_dim|web_returns|web_sales|web_site,count|sum,backtick_identifier|interval_arithmetic,7,high
query96,True,spark,15,14,493,1,0,0,0,0,0,0,0,1,0,0,2,False,False,True,4,4,0,0,0,0,0,0,4,3,0.5,1,3,4,3,3,star,3,0,0,0,household_demographics|store|store_sales|time_dim,count,,1,low
query97,True,spark,39,38,1536,1,2,1,0,0,0,0,1,3,0,0,3,False,False,False,3,4,2,0,0,0,3,1,3,2,0.6667,1,2,2,1,1,star,2,1,0,0,catalog_sales|date_dim|store_sales,sum,,3,low
query98,True,spark,28,27,991,1,0,0,0,0,0,0,0,1,1,1,4,False,False,True,3,3,0,0,0,0,0,0,3,2,0.6667,1,2,3,2,2,star,2,0,0,0,date_dim|item|store_sales,sum,interval_arithmetic,2,low
query99,True,spark,45,44,1766,1,0,0,0,0,0,0,0,1,0,0,5,False,False,True,5,5,0,0,0,0,5,1,5,4,0.4,1,4,5,4,4,star,4,0,0,0,call_center|catalog_sales|date_dim|ship_mode|warehouse,sum,backtick_identifier,6,medium
